blockchain,num_swaps,period,unique_swap_addresses,volume
bnb,15654,2025-03-19 00:00:00.000 UTC,5130,1190494.0669393027
ethereum,14580,2025-03-20 00:00:00.000 UTC,5886,35870285.97081587
avalanche_c,1173,2025-02-21 00:00:00.000 UTC,191,16490.67056171198
unichain,3229,2025-03-16 00:00:00.000 UTC,728,94331.2526490033
zora,1,2025-02-13 00:00:00.000 UTC,1,28.53136959674268
base,59841,2025-04-04 00:00:00.000 UTC,7742,5981584.787773796
ethereum,14845,2025-05-10 00:00:00.000 UTC,5071,139082318.14383495
polygon,2111,2025-01-30 00:00:00.000 UTC,91,163180.1758262906
avalanche_c,978,2025-03-12 00:00:00.000 UTC,285,11485.351068600847
base,55058,2025-03-16 00:00:00.000 UTC,10091,8104379.626274561
polygon,36242,2025-05-07 00:00:00.000 UTC,4931,4092178.9657404055
polygon,30454,2025-05-01 00:00:00.000 UTC,4096,3563462.3054952673
base,87550,2025-05-14 00:00:00.000 UTC,12984,19692432.510450076
bnb,6808,2025-02-20 00:00:00.000 UTC,2089,209039.8447741453
bnb,186389,2025-05-30 00:00:00.000 UTC,22474,168945795.54637012
polygon,25514,2025-02-18 00:00:00.000 UTC,2229,2271394.6215758775
unichain,199,2025-01-29 00:00:00.000 UTC,99,158110.13434696238
ethereum,16934,2025-05-31 00:00:00.000 UTC,6448,284442859.10942125
unichain,3667,2025-03-10 00:00:00.000 UTC,376,198721.17617041426
blast,10,2025-01-30 00:00:00.000 UTC,9,35.14338769086123
zora,71,2025-05-18 00:00:00.000 UTC,6,85.5690634108772
blast,7,2025-04-18 00:00:00.000 UTC,3,0.27746650094473196
optimism,27078,2025-05-19 00:00:00.000 UTC,3094,1178531.8619653888
base,56044,2025-02-04 00:00:00.000 UTC,7023,12687338.778622054
polygon,35348,2025-05-28 00:00:00.000 UTC,4668,5453644.133705366
arbitrum,32826,2025-03-13 00:00:00.000 UTC,2205,9329785.225788921
ethereum,18706,2025-05-18 00:00:00.000 UTC,5473,157007092.52526736
avalanche_c,3961,2025-05-18 00:00:00.000 UTC,683,182258.25423048864
optimism,16893,2025-03-19 00:00:00.000 UTC,1516,266618.93687308126
bnb,5251,2025-02-15 00:00:00.000 UTC,1635,153895.50344035693
avalanche_c,2460,2025-04-21 00:00:00.000 UTC,380,21929.234316282687
zora,93,2025-03-31 00:00:00.000 UTC,15,245.55620156398203
worldchain,31118,2025-04-07 00:00:00.000 UTC,37,2735.651992379085
arbitrum,36081,2025-04-10 00:00:00.000 UTC,3196,11495743.269057652
ethereum,12639,2025-03-09 00:00:00.000 UTC,5090,17686281.19080258
polygon,26315,2025-03-02 00:00:00.000 UTC,3323,2585489.8391009495
worldchain,18,2025-02-15 00:00:00.000 UTC,4,511.64802520491446
zora,103,2025-03-16 00:00:00.000 UTC,1,230.8588548499047
base,77039,2025-04-18 00:00:00.000 UTC,11066,7240246.37138527
arbitrum,35921,2025-05-05 00:00:00.000 UTC,3447,21827587.65368037
arbitrum,34034,2025-05-24 00:00:00.000 UTC,3702,19857968.36216987
optimism,7317,2025-03-15 00:00:00.000 UTC,1243,70476.25151263156
zora,1,2025-02-18 00:00:00.000 UTC,1,45.24174091929021
unichain,19943,2025-04-13 00:00:00.000 UTC,4103,111064.42600161537
blast,21,2025-05-01 00:00:00.000 UTC,15,1.0902392355928725
avalanche_c,1710,2025-04-27 00:00:00.000 UTC,323,15740.3005027833
worldchain,8,2025-02-21 00:00:00.000 UTC,4,5.816109287160197
bnb,22897,2025-05-03 00:00:00.000 UTC,2978,2728204.8642104883
ethereum,12506,2025-02-11 00:00:00.000 UTC,7474,16596792.386248257
ethereum,10783,2025-02-17 00:00:00.000 UTC,4310,24944814.627237454
bnb,21323,2025-03-18 00:00:00.000 UTC,7080,1237736.2836286882
optimism,14299,2025-03-21 00:00:00.000 UTC,1518,99212.71245649122
optimism,9184,2025-04-16 00:00:00.000 UTC,1434,139450.9864163834
worldchain,47071,2025-05-22 00:00:00.000 UTC,234,41335.35915096381
bnb,162467,2025-05-22 00:00:00.000 UTC,22382,118319001.10009857
worldchain,13521,2025-03-19 00:00:00.000 UTC,33,569.9369063328301
arbitrum,36305,2025-04-04 00:00:00.000 UTC,2469,15599122.432151515
arbitrum,25860,2025-03-14 00:00:00.000 UTC,2775,7294425.703115875
polygon,25778,2025-02-24 00:00:00.000 UTC,2163,2424108.2195413997
avalanche_c,74,2025-02-02 00:00:00.000 UTC,18,521.3484120075649
blast,41,2025-04-06 00:00:00.000 UTC,13,10.749238367570271
base,137073,2025-04-23 00:00:00.000 UTC,38185,10996030.699289225
