Timestamp,Date,Measure,bIB01,BENJI,WTSYX,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,BUIDL,XTBT,XEVT,bCSPX,SKHC,PARAVII,NOTE,XRV,ACRED,EQTYX,MODRX,LNGVX,WTSIX,SPXUX,TECHX,RE,VBILL,XFTB
1684713600000,2023-05-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1684800000000,2023-05-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1684886400000,2023-05-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1684972800000,2023-05-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685059200000,2023-05-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685145600000,2023-05-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685232000000,2023-05-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685318400000,2023-05-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685404800000,2023-05-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685491200000,2023-05-31,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1685577600000,2023-06-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
